student,id,color,defect,hour,minute,weight,total.number,
allenrj,1,BL,L,10,48,50.14,57,
allenrj,2,BL,N,10,49,50.14,57,
allenrj,3,BL,L,10,49,50.14,57,
allenrj,4,BL,N,10,49,50.14,57,
allenrj,5,BL,N,10,50,50.14,57,
Pinoja,4,BL,N,10,42,48.3,49,
Pinoja,11,BL,N,10,44,48.3,49,
Pinoja,18,BL,L,10,46,48.3,49,
Pinoja,29,BL,N,10,49,48.3,49,
Pinoja,48,BL,N,10,51,48.3,49,
walsh3hm,1,BL,N,10,46,49.6,57,
walsh3hm,4,BL,M,10,47,49.6,57,
walsh3hm,5,BL,N,10,47,49.6,57,
walsh3hm,19,BL,N,10,50,49.6,57,
walsh3hm,41,BL,N,10,54,49.6,57,
walsh3hm,43,BL,N,10,54,49.6,57,
walsh3hm,44,BL,L,10,54,49.6,57,
walsh3hm,54,BL,L,10,55,49.6,57,
brikkewf,31,BL,N,10,53,49.5,55,
brikkewf,32,BL,N,10,53,49.5,55,
brikkewf,33,BL,N,10,53,49.5,55,
brikkewf,34,BL,N,10,53,49.5,55,
brikkewf,35,BL,N,10,53,49.5,55,
brikkewf,36,BL,N,10,53,49.5,55,
brikkewf,37,BL,N,10,53,49.5,55,
brikkewf,38,BL,N,10,53,49.5,55,
brikkewf,39,BL,N,10,53,49.5,55,
brikkewf,40,BL,N,10,53,49.5,55,
brikkewf,41,BL,N,10,53,49.5,55,
saxmanbf,1,BL,N,10,45,50.95,58,
saxmanbf,2,BL,N,10,45,50.95,58,
saxmanbf,6,BL,N,10,46,50.95,58,
saxmanbf,10,BL,N,10,47,50.95,58,
saxmanbf,17,BL,N,10,49,50.95,58,
saxmanbf,25,BL,N,10,50,50.95,58,
saxmanbf,33,BL,L,10,52,50.95,58,
saxmanbf,39,BL,N,10,54,50.95,58,
saxmanbf,42,BL,N,10,54,50.95,58,
saxmanbf,44,BL,N,10,55,50.95,58,
saxmanbf,45,BL,N,10,55,50.95,58,
saxmanbf,52,BL,N,10,56,50.95,58,
saxmanbf,53,BL,N,10,56,50.95,58,
saxmanbf,54,BL,L,10,56,50.95,58,
billindr,19,BL,C,10,52,50.16,57,
billindr,20,BL,C,10,52,50.16,57,
billindr,21,BL,L,10,52,50.16,57,
billindr,22,BL,L,10,52,50.16,57,
billindr,23,BL,N,10,52,50.16,57,
billindr,24,BL,N,10,52,50.16,57,
billindr,25,BL,N,10,52,50.16,57,
billindr,26,BL,N,10,52,50.16,57,
billindr,27,BL,N,10,52,50.16,57,
billindr,28,BL,N,10,52,50.16,57,
lasekmz,7,BL,L,10,46,48.72,55,
lasekmz,12,BL,L,10,48,48.72,55,
lasekmz,14,BL,N,10,48,48.72,55,
lasekmz,35,BL,N,10,53,48.72,55,
lasekmz,48,BL,N,10,56,48.72,55,
stubengi,43,BL,N,10,57,48.64,56,
stubengi,44,BL,N,10,57,48.64,56,
stubengi,45,BL,N,10,57,48.64,56,
stubengi,46,BL,N,10,57,48.64,56,
stubengi,47,BL,N,10,57,48.64,56,
stubengi,48,BL,N,10,57,48.64,56,
stubengi,49,BL,N,10,57,48.64,56,
stubengi,50,BL,N,10,57,48.64,56,
stubengi,51,BL,N,10,57,48.64,56,
stubengi,52,BL,N,10,57,48.64,56,
stubengi,53,BL,M,10,57,48.64,56,
stubengi,54,BL,M,10,57,48.64,56,
stubengi,55,BL,L,10,57,48.64,56,
stubengi,56,BL,C,10,57,48.64,56,
Tiggesja,5,BL,N,10,46,50.61,57,
Tiggesja,10,BL,N,10,48,50.61,57,
Tiggesja,11,BL,L,10,48,50.61,57,
Tiggesja,14,BL,N,10,49,50.61,57,
Tiggesja,22,BL,N,10,51,50.61,57,
Tiggesja,30,BL,N,10,53,50.61,57,
Tiggesja,33,BL,N,10,53,50.61,57,
Tiggesja,42,BL,N,10,55,50.61,57,
Tiggesja,43,BL,N,10,55,50.61,57,
Tiggesja,44,BL,N,10,55,50.61,57,
selamarx,3,BL,N,10,47,48.75,55,
selamarx,23,BL,M,10,52,48.75,55,
selamarx,28,BL,L,10,53,48.75,55,
selamarx,33,BL,L,10,54,48.75,55,
selamarx,36,BL,L,10,54,48.75,55,
selamarx,38,BL,L,10,55,48.75,55,
selamarx,49,BL,N,10,56,48.75,55,
gray2dl,11,BL,L,10,51,49.15,56,
gray2dl,13,BL,N,10,51,49.15,56,
gray2dl,15,BL,N,10,52,49.15,56,
gray2dl,19,BL,L,10,53,49.15,56,
gray2dl,20,BL,N,10,53,49.15,56,
gray2dl,25,BL,N,10,54,49.15,56,
gray2dl,40,BL,L,10,57,49.15,56,
gray2dl,48,BL,L,10,58,49.15,56,
gray2dl,50,BL,M,10,59,49.15,56,
gray2dl,53,BL,N,10,59,49.15,56,
gray2dl,56,BL,L,11,0,49.15,56,
Schereeu,1,BL,L,10,44,48.5,55,
Schereeu,13,BL,N,10,48,48.5,55,
Schereeu,32,BL,C,10,54,48.5,55,
Schereeu,38,BL,L,10,55,48.5,55,
Schereeu,42,BL,N,10,56,48.5,55,
Schereeu,48,BL,N,10,57,48.5,55,
Schereeu,49,BL,N,10,57,48.5,55,
Schereeu,50,BL,L,10,57,48.5,55,
Fairchap,9,BL,N,10,46,50.23,57,
Fairchap,18,BL,N,10,50,50.23,57,
Fairchap,19,BL,N,10,50,50.23,57,
Fairchap,25,BL,L,10,52,50.23,57,
Fairchap,26,BL,N,10,52,50.23,57,
Fairchap,31,BL,N,10,53,50.23,57,
Fairchap,32,BL,L,10,53,50.23,57,
Fairchap,41,BL,L,10,55,50.23,57,
Fairchap,50,BL,N,10,57,50.23,57,
Netzelbj,49,BL,N,10,53,48.95,56,
Netzelbj,50,BL,N,10,54,48.95,56,
Netzelbj,51,BL,N,10,54,48.95,56,
Netzelbj,52,BL,N,10,54,48.95,56,
Netzelbj,53,BL,N,10,54,48.95,56,
Netzelbj,54,BL,C,10,54,48.95,56,
Netzelbj,55,BL,L,10,54,48.95,56,
Netzelbj,56,BL,L,10,55,48.95,56,
pickfoja,23,BL,C,10,54,48.95,56,
pickfoja,30,BL,M,10,56,48.95,56,
pickfoja,37,BL,N,10,58,48.95,56,
pickfoja,45,BL,L,10,59,48.95,56,
pickfoja,49,BL,L,11,0,48.95,56,
staplelm,14,BL,L,10,49,48.72,55,
staplelm,15,BL,N,10,49,48.72,55,
staplelm,16,BL,N,10,49,48.72,55,
staplelm,17,BL,L,10,50,48.72,55,
staplelm,18,BL,L,10,50,48.72,55,
staplelm,19,BL,L,10,50,48.72,55,
staplelm,20,BL,L,10,50,48.72,55,
staplelm,21,BL,N,10,50,48.72,55,
staplelm,22,BL,N,10,50,48.72,55,
rumburtm,3,BL,L,10,44,48.78,56,
rumburtm,14,BL,L,10,49,48.78,56,
rumburtm,16,BL,N,10,51,48.78,56,
rumburtm,17,BL,M,10,52,48.78,56,
rumburtm,19,BL,L,10,53,48.78,56,
rumburtm,31,BL,N,10,56,48.78,56,
rumburtm,48,BL,N,10,59,48.78,56,
paintejm,29,BL,M,10,48,47.95,55,
paintejm,30,BL,L,10,48,47.95,55,
paintejm,31,BL,N,10,48,47.95,55,
paintejm,32,BL,N,10,48,47.95,55,
paintejm,33,BL,N,10,48,47.95,55,
paintejm,34,BL,N,10,48,47.95,55,
paintejm,35,BL,N,10,48,47.95,55,
gibbonej,25,BL,N,10,56,48.93,55,
gibbonej,26,BL,N,10,57,48.93,55,
gibbonej,27,BL,C,10,57,48.93,55,
gibbonej,28,BL,L,10,57,48.93,55,
gibbonej,29,BL,N,10,57,48.93,55,
gibbonej,30,BL,N,10,58,48.93,55,
gibbonej,31,BL,L,10,58,48.93,55,
ridgepb,2,BL,N,10,47,49.8,56,
ridgepb,10,BL,L,10,50,49.8,56,
ridgepb,24,BL,N,10,54,49.8,56,
ridgepb,30,BL,N,10,55,49.8,56,
ridgepb,37,BL,N,10,57,49.8,56,
ridgepb,40,BL,N,10,57,49.8,56,
ridgepb,41,BL,N,10,57,49.8,56,
ridgepb,43,BL,L,10,58,49.8,56,
withroac,5,BL,M,10,49,47.2,55,
withroac,8,BL,M,10,51,47.2,55,
withroac,21,BL,L,10,56,47.2,55,
withroac,25,BL,N,10,57,47.2,55,
withroac,31,BL,C,10,59,47.2,55,
withroac,50,BL,M,11,4,47.2,55,
withroac,53,BL,L,11,5,47.2,55,
ruppreji,1,BL,N,10,45,50.18,56,
ruppreji,3,BL,L,10,47,50.18,56,
ruppreji,45,BL,N,11,4,50.18,56,
ruppreji,46,BL,N,11,4,50.18,56,
ruppreji,47,BL,N,11,4,50.18,56,
ruppreji,48,BL,N,11,4,50.18,56,
ruppreji,49,BL,L,11,5,50.18,56,
ruppreji,50,BL,L,11,5,50.18,56,
ruppreji,51,BL,L,11,5,50.18,56,
ruppreji,52,BL,L,11,5,50.18,56,
ruppreji,53,BL,L,11,5,50.18,56,
ruppreji,54,BL,L,11,5,50.18,56,
cowen2jr,5,BL,N,10,44,48.44,55,
cowen2jr,6,BL,N,10,45,48.44,55,
cowen2jr,9,BL,L,10,46,48.44,55,
cowen2jr,14,BL,L,10,47,48.44,55,
cowen2jr,20,BL,N,10,49,48.44,55,
cowen2jr,23,BL,L,10,50,48.44,55,
cowen2jr,27,BL,L,10,51,48.44,55,
cowen2jr,48,BL,N,10,56,48.44,55,
cowen2jr,49,BL,N,10,56,48.44,55,
cowen2jr,51,BL,L,10,56,48.44,55,
barboujm,7,BL,N,10,53,48.05,54,
barboujm,8,BL,N,10,53,48.05,54,
barboujm,10,BL,C,10,55,48.05,54,
barboujm,32,BL,L,11,2,48.05,54,
barboujm,33,BL,N,11,2,48.05,54,
barboujm,34,BL,N,11,2,48.05,54,
barboujm,35,BL,N,11,4,48.05,54,
barboujm,36,BL,N,11,4,48.05,54,
barboujm,37,BL,N,11,4,48.05,54,
barboujm,50,BL,L,11,7,48.05,54,
barboujm,51,BL,L,11,7,48.05,54,
Barre3am,7,BL,C,10,54,49.4,56,
Barre3am,15,BL,N,10,58,49.4,56,
Barre3am,22,BL,M,11,2,49.4,56,
Barre3am,24,BL,N,11,3,49.4,56,
Barre3am,36,BL,N,11,8,49.4,56,
Waltergs,5,BL,L,11,46,50.2,57,
Waltergs,6,BL,N,11,46,50.2,57,
Waltergs,7,BL,N,11,46,50.2,57,
Waltergs,9,BL,L,11,46,50.2,57,
Waltergs,13,BL,L,11,46,50.2,57,
Waltergs,14,BL,N,11,46,50.2,57,
Waltergs,21,BL,N,11,46,50.2,57,
Waltergs,26,BL,N,11,46,50.2,57,
Waltergs,36,BL,N,11,46,50.2,57,
Waltergs,51,BL,N,11,46,50.2,57,
Waltergs,52,BL,N,11,46,50.2,57,
jacquaat,21,BL,N,11,46,49.45,57,
jacquaat,22,BL,N,11,46,49.45,57,
jacquaat,23,BL,N,11,46,49.45,57,
jacquaat,24,BL,N,11,46,49.45,57,
jacquaat,25,BL,N,11,46,49.45,57,
jacquaat,26,BL,N,11,46,49.45,57,
jacquaat,27,BL,L,11,46,49.45,57,
jacquaat,28,BL,L,11,46,49.45,57,
jacquaat,29,BL,L,11,46,49.45,57,
jacquaat,30,BL,M,11,46,49.45,57,
Delucaar,7,BL,N,11,43,50.53,57,
Delucaar,11,BL,N,11,44,50.53,57,
Delucaar,21,BL,N,11,46,50.53,57,
Delucaar,28,BL,N,11,48,50.53,57,
Delucaar,47,BL,L,11,51,50.53,57,
Delucaar,51,BL,N,11,52,50.53,57,
Delucaar,52,BL,L,11,52,50.53,57,
kaiserjm,31,BL,L,11,50,49.77,55,
kaiserjm,32,BL,L,11,50,49.77,55,
kaiserjm,33,BL,L,11,50,49.77,55,
kaiserjm,34,BL,L,11,52,49.77,55,
kaiserjm,35,BL,L,11,52,49.77,55,
kaiserjm,36,BL,L,11,52,49.77,55,
kaiserjm,37,BL,L,11,52,49.77,55,
kaiserjm,38,BL,L,11,52,49.77,55,
kaiserjm,39,BL,N,11,52,49.77,55,
kaiserjm,40,BL,N,11,54,49.77,55,
kaiserjm,41,BL,N,11,54,49.77,55,
kaiserjm,42,BL,N,11,54,49.77,55,
kaiserjm,43,BL,N,11,54,49.77,55,
kaiserjm,44,BL,N,11,54,49.77,55,
blandbt,6,BL,N,11,43,48.81,55,
blandbt,18,BL,N,11,45,48.81,55,
blandbt,20,BL,N,11,46,48.81,55,
blandbt,29,BL,N,11,47,48.81,55,
blandbt,33,BL,N,11,48,48.81,55,
blandbt,39,BL,L,11,49,48.81,55,
blandbt,40,BL,N,11,49,48.81,55,
blandbt,53,BL,L,11,52,48.81,55,
rambilrd,7,BL,L,11,47,48.97,57,
rambilrd,10,BL,N,11,48,48.97,57,
rambilrd,18,BL,L,11,48,48.97,57,
rambilrd,31,BL,L,11,51,48.97,57,
rambilrd,33,BL,L,11,51,48.97,57,
rambilrd,34,BL,N,11,51,48.97,57,
rambilrd,35,BL,N,11,51,48.97,57,
rouss2wa,7,BL,L,11,47,48.97,57,
rouss2wa,10,BL,N,11,48,48.97,57,
rouss2wa,18,BL,L,11,48,48.97,57,
rouss2wa,31,BL,L,11,51,48.97,57,
rouss2wa,33,BL,L,11,51,48.97,57,
rouss2wa,34,BL,N,11,51,48.97,57,
rouss2wa,35,BL,N,11,51,48.97,57,
drohatga,41,BL,L,11,55,49.37,56,
drohatga,42,BL,L,11,55,49.37,56,
drohatga,43,BL,L,11,55,49.37,56,
drohatga,44,BL,L,11,55,49.37,56,
drohatga,45,BL,N,11,55,49.37,56,
drohatga,46,BL,N,11,55,49.37,56,
drohatga,47,BL,L,11,55,49.37,56,
frautsks,46,BL,L,11,58,48.8,55,
frautsks,47,BL,L,11,58,48.8,55,
frautsks,48,BL,L,11,58,48.8,55,
frautsks,49,BL,M,11,58,48.8,55,
frautsks,50,BL,M,11,58,48.8,55,
frautsks,51,BL,M,11,58,48.8,55,
frautsks,52,BL,N,11,58,48.8,55,
frautsks,53,BL,N,11,58,48.8,55,
frautsks,54,BL,N,11,58,48.8,55,
frautsks,55,BL,N,11,58,48.8,55,
witherko,13,BL,L,11,46,49.12,55,
witherko,16,BL,L,11,47,49.12,55,
witherko,24,BL,N,11,48,49.12,55,
witherko,25,BL,N,11,49,49.12,55,
witherko,41,BL,N,11,51,49.12,55,
witherko,42,BL,N,11,52,49.12,55,
witherko,43,BL,N,11,52,49.12,55,
witherko,44,BL,N,11,52,49.12,55,
witherko,45,BL,N,11,52,49.12,55,
Silerja,6,BL,C,11,45,48.78,55,
Silerja,13,BL,N,11,47,48.78,55,
Silerja,19,BL,N,11,50,48.78,55,
Silerja,20,BL,N,11,50,48.78,55,
Silerja,21,BL,N,11,50,48.78,55,
Silerja,22,BL,N,11,50,48.78,55,
Silerja,23,BL,N,11,50,48.78,55,
Silerja,24,BL,N,11,50,48.78,55,
Silerja,25,BL,N,11,50,48.78,55,
Silerja,26,BL,L,11,50,48.78,55,
Silerja,27,BL,L,11,51,48.78,55,
bettsjp,12,BL,N,11,48,49.98,58,
bettsjp,13,BL,L,11,48,49.98,58,
bettsjp,14,BL,L,11,49,49.98,58,
bettsjp,15,BL,L,11,49,49.98,58,
bettsjp,16,BL,L,11,50,49.98,58,
bettsjp,17,BL,N,11,50,49.98,58,
bettsjp,18,BL,L,11,50,49.98,58,
bettsjp,19,BL,N,11,50,49.98,58,
bettsjp,20,BL,N,11,51,49.98,58,
bettsjp,21,BL,N,11,51,49.98,58,
bettsjp,22,BL,N,11,51,49.98,58,
bettsjp,23,BL,N,11,51,49.98,58,
grimmejp,5,BL,N,11,49,51.94,59,
grimmejp,17,BL,L,11,53,51.94,59,
grimmejp,19,BL,L,11,54,51.94,59,
grimmejp,23,BL,N,11,55,51.94,59,
grimmejp,27,BL,L,11,56,51.94,59,
grimmejp,35,BL,N,11,58,51.94,59,
grimmejp,40,BL,N,11,59,51.94,59,
grimmejp,46,BL,L,12,2,51.94,59,
grimmejp,47,BL,N,12,2,51.94,59,
grimmejp,52,BL,L,12,3,51.94,59,
grimmejp,54,BL,L,12,4,51.94,59,
grimmejp,55,BL,L,12,4,51.94,59,
valentga,1,BL,L,11,46,49.98,57,
valentga,2,BL,N,11,46,49.98,57,
valentga,3,BL,N,11,46,49.98,57,
valentga,4,BL,L,11,47,49.98,57,
valentga,5,BL,L,11,47,49.98,57,
valentga,6,BL,N,11,47,49.98,57,
valentga,7,BL,M,11,47,49.98,57,
valentga,8,BL,N,11,47,49.98,57,
valentga,9,BL,L,11,48,49.98,57,
jankowmx,6,BL,L,11,48,49.79,55,
jankowmx,8,BL,N,11,48,49.79,55,
jankowmx,12,BL,L,11,49,49.79,55,
jankowmx,17,BL,M,11,50,49.79,55,
jankowmx,21,BL,L,11,50,49.79,55,
jankowmx,27,BL,N,11,51,49.79,55,
jankowmx,30,BL,N,11,52,49.79,55,
jankowmx,44,BL,L,11,53,49.79,55,
jankowmx,54,BL,C,11,55,49.79,55,
jankowmx,55,BL,L,11,55,49.79,55,
schuyljw,1,BL,L,11,46,50.35,57,
schuyljw,2,BL,N,11,46,50.35,57,
schuyljw,3,BL,L,11,46,50.35,57,
schuyljw,4,BL,N,11,46,50.35,57,
schuyljw,5,BL,N,11,47,50.35,57,
schuyljw,6,BL,L,11,47,50.35,57,
schuyljw,7,BL,L,11,47,50.35,57,
schuyljw,8,BL,L,11,47,50.35,57,
schuyljw,9,BL,N,11,47,50.35,57,
schuyljw,9,BL,N,11,47,50.35,57,
byrdes,4,BL,L,11,44,50.7,58,
byrdes,9,BL,N,11,46,50.7,58,
byrdes,11,BL,L,11,47,50.7,58,
byrdes,16,BL,L,11,49,50.7,58,
byrdes,26,BL,N,11,51,50.7,58,
byrdes,29,BL,L,11,52,50.7,58,
byrdes,48,BL,N,11,57,50.7,58,
byrdes,49,BL,N,11,57,50.7,58,
gagnonop,11,BL,L,11,51,46.85,53,
gagnonop,13,BL,N,11,52,46.85,53,
