"","word","value"
"1","abandon",-2
"2","abandoned",-2
"3","abandons",-2
"4","abducted",-2
"5","abduction",-2
"6","abductions",-2
"7","abhor",-3
"8","abhorred",-3
"9","abhorrent",-3
"10","abhors",-3
"11","abilities",2
"12","ability",2
"13","aboard",1
"14","absentee",-1
"15","absentees",-1
"16","absolve",2
"17","absolved",2
"18","absolves",2
"19","absolving",2
"20","absorbed",1
"21","abuse",-3
"22","abused",-3
"23","abuses",-3
"24","abusive",-3
"25","accept",1
"26","accepted",1
"27","accepting",1
"28","accepts",1
"29","accident",-2
"30","accidental",-2
"31","accidentally",-2
"32","accidents",-2
"33","accomplish",2
"34","accomplished",2
"35","accomplishes",2
"36","accusation",-2
"37","accusations",-2
"38","accuse",-2
"39","accused",-2
"40","accuses",-2
"41","accusing",-2
"42","ache",-2
"43","achievable",1
"44","aching",-2
"45","acquit",2
"46","acquits",2
"47","acquitted",2
"48","acquitting",2
"49","acrimonious",-3
"50","active",1
"51","adequate",1
"52","admire",3
"53","admired",3
"54","admires",3
"55","admiring",3
"56","admit",-1
"57","admits",-1
"58","admitted",-1
"59","admonish",-2
"60","admonished",-2
"61","adopt",1
"62","adopts",1
"63","adorable",3
"64","adore",3
"65","adored",3
"66","adores",3
"67","advanced",1
"68","advantage",2
"69","advantages",2
"70","adventure",2
"71","adventures",2
"72","adventurous",2
"73","affected",-1
"74","affection",3
"75","affectionate",3
"76","afflicted",-1
"77","affronted",-1
"78","afraid",-2
"79","aggravate",-2
"80","aggravated",-2
"81","aggravates",-2
"82","aggravating",-2
"83","aggression",-2
"84","aggressions",-2
"85","aggressive",-2
"86","aghast",-2
"87","agog",2
"88","agonise",-3
"89","agonised",-3
"90","agonises",-3
"91","agonising",-3
"92","agonize",-3
"93","agonized",-3
"94","agonizes",-3
"95","agonizing",-3
"96","agree",1
"97","agreeable",2
"98","agreed",1
"99","agreement",1
"100","agrees",1
"101","alarm",-2
"102","alarmed",-2
"103","alarmist",-2
"104","alarmists",-2
"105","alas",-1
"106","alert",-1
"107","alienation",-2
"108","alive",1
"109","allergic",-2
"110","allow",1
"111","alone",-2
"112","amaze",2
"113","amazed",2
"114","amazes",2
"115","amazing",4
"116","ambitious",2
"117","ambivalent",-1
"118","amuse",3
"119","amused",3
"120","amusement",3
"121","amusements",3
"122","anger",-3
"123","angers",-3
"124","angry",-3
"125","anguish",-3
"126","anguished",-3
"127","animosity",-2
"128","annoy",-2
"129","annoyance",-2
"130","annoyed",-2
"131","annoying",-2
"132","annoys",-2
"133","antagonistic",-2
"134","anti",-1
"135","anticipation",1
"136","anxiety",-2
"137","anxious",-2
"138","apathetic",-3
"139","apathy",-3
"140","apeshit",-3
"141","apocalyptic",-2
"142","apologise",-1
"143","apologised",-1
"144","apologises",-1
"145","apologising",-1
"146","apologize",-1
"147","apologized",-1
"148","apologizes",-1
"149","apologizing",-1
"150","apology",-1
"151","appalled",-2
"152","appalling",-2
"153","appease",2
"154","appeased",2
"155","appeases",2
"156","appeasing",2
"157","applaud",2
