"No.","Time","Source","Destination","Protocol","Length","Native OS","Source Port","Destination Port","Time to live","Info"
"1","0.000000","98.114.205.102","192.150.11.111","TCP","62","","1821","445","113","1821  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"2","0.000464","192.150.11.111","98.114.205.102","TCP","62","","445","1821","64","445  >  1821 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"3","0.119058","98.114.205.102","192.150.11.111","TCP","60","","1821","445","113","1821  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.134175","98.114.205.102","192.150.11.111","TCP","60","","1821","445","113","1821  >  445 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"5","0.134550","98.114.205.102","192.150.11.111","TCP","62","","1828","445","113","1828  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"6","0.134878","192.150.11.111","98.114.205.102","TCP","62","","445","1828","64","445  >  1828 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"7","0.135193","192.150.11.111","98.114.205.102","TCP","54","","445","1821","64","445  >  1821 [ACK] Seq=1 Ack=2 Win=5840 Len=0"
"8","0.238169","192.150.11.111","98.114.205.102","TCP","54","","445","1821","64","445  >  1821 [FIN, ACK] Seq=1 Ack=2 Win=5840 Len=0"
"9","0.251859","98.114.205.102","192.150.11.111","TCP","60","","1828","445","113","1828  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"10","0.267724","98.114.205.102","192.150.11.111","SMB","191","","1828","445","113","Negotiate Protocol Request"
"11","0.267735","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=1 Ack=138 Win=6432 Len=0"
"12","0.354302","98.114.205.102","192.150.11.111","TCP","60","","1821","445","113","1821  >  445 [ACK] Seq=2 Ack=2 Win=64240 Len=0"
"13","0.487136","192.150.11.111","98.114.205.102","SMB","143","","445","1828","64","Negotiate Protocol Response"
"14","0.602288","98.114.205.102","192.150.11.111","SMB","222","Windows 2000 2195","1828","445","113","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"15","0.602303","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=90 Ack=306 Win=7504 Len=0"
"16","0.723001","192.150.11.111","98.114.205.102","SMB","311","Windows 5.1","445","1828","64","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"17","0.840405","98.114.205.102","192.150.11.111","SMB","276","Windows 2000 2195","1828","445","113","Session Setup AndX Request, NTLMSSP_AUTH, User: \\"
"18","0.840419","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=347 Ack=528 Win=8576 Len=0"
"19","0.957617","192.150.11.111","98.114.205.102","SMB","175","Windows 5.1","445","1828","64","Session Setup AndX Response"
"20","1.073151","98.114.205.102","192.150.11.111","SMB","152","","1828","445","113","Tree Connect AndX Request, Path: \\\\192.150.11.111\\ipc$"
"21","1.073174","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=468 Ack=626 Win=8576 Len=0"
"22","1.189374","192.150.11.111","98.114.205.102","SMB","114","","445","1828","64","Tree Connect AndX Response"
"23","1.307145","98.114.205.102","192.150.11.111","SMB","158","","1828","445","113","NT Create AndX Request, FID: 0x4000, Path: \\lsarpc"
"24","1.307168","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=528 Ack=730 Win=8576 Len=0"
"25","1.424860","192.150.11.111","98.114.205.102","SMB","193","","445","1828","64","NT Create AndX Response, FID: 0x4000"
"26","1.542389","98.114.205.102","192.150.11.111","DCERPC","214","","1828","445","113","Bind: call_id: 1, Fragment: Single, 1 context items: DSSETUP V0.0 (32bit NDR)"
"27","1.542401","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=667 Ack=890 Win=9648 Len=0"
"28","1.670219","192.150.11.111","98.114.205.102","DCERPC","182","","445","1828","64","Bind_ack: call_id: 1, Fragment: Single, max_xmit: 4280 max_recv: 4280, 1 results: Acceptance"
"29","1.797873","98.114.205.102","192.150.11.111","TCP","1514","","1828","445","113","1828  >  445 [ACK] Seq=890 Ack=795 Win=63446 Len=1460 [TCP segment of a reassembled PDU]"
"30","1.797886","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=795 Ack=2350 Win=11680 Len=0"
"31","1.803993","98.114.205.102","192.150.11.111","TCP","1514","","1828","445","113","1828  >  445 [ACK] Seq=2350 Ack=795 Win=63446 Len=1460 [TCP segment of a reassembled PDU]"
"32","1.804003","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=795 Ack=3810 Win=14600 Len=0"
"33","1.805992","98.114.205.102","192.150.11.111","DSSETUP","454","","1828","445","113","DsRoleUpgradeDownlevelServer request[Long frame (3208 bytes)]"
"34","1.806001","192.150.11.111","98.114.205.102","TCP","54","","445","1828","64","445  >  1828 [ACK] Seq=795 Ack=4210 Win=17520 Len=0"
"35","1.978646","98.114.205.102","192.150.11.111","TCP","60","","1828","445","113","[TCP Dup ACK 29#1] 1828  >  445 [ACK] Seq=4210 Ack=795 Win=63446 Len=0"
"36","2.091833","98.114.205.102","192.150.11.111","TCP","62","","1924","1957","113","1924  >  1957 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"37","2.092245","192.150.11.111","98.114.205.102","TCP","62","","1957","1924","64","1957  >  1924 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"38","2.134590","192.150.11.111","98.114.205.102","DSSETUP","162","","445","1828","64","DsRoleUpgradeDownlevelServer response[Long frame (20 bytes)]"
"39","2.209143","98.114.205.102","192.150.11.111","TCP","60","","1924","1957","113","1924  >  1957 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"40","2.379299","98.114.205.102","192.150.11.111","TCP","60","","1828","445","113","1828  >  445 [ACK] Seq=4210 Ack=903 Win=63338 Len=0"
"41","3.327353","192.150.11.111","98.114.205.102","TCP","55","","1957","1924","64","1957  >  1924 [PSH, ACK] Seq=1 Ack=1 Win=5840 Len=1"
"42","3.444956","98.114.205.102","192.150.11.111","TCP","177","","1924","1957","113","1924  >  1957 [PSH, ACK] Seq=1 Ack=2 Win=64239 Len=123"
