pour,time,test.case,brewery,temp,wet.foam.ht,beer.ht,dry.foam.ht,tau,dry.foam.ratio
1,30,SH-COLD,SH,COLD,18.6,4.1,13.15,235.23,0.707
1,60,SH-COLD,SH,COLD,15.85,6.4,12.7,208.6779916,0.801
1,90,SH-COLD,SH,COLD,14.25,7.45,12.15,228.4629704,0.853
1,120,SH-COLD,SH,COLD,13,8.05,11.5,247.0434691,0.885
1,150,SH-COLD,SH,COLD,12,8.5,10.95,265.117353,0.913
1,180,SH-COLD,SH,COLD,11.4,8.8,10.65,291.6961514,0.934
1,210,SH-COLD,SH,COLD,10.7,9,10.15,308.6192552,0.949
1,240,SH-COLD,SH,COLD,10.15,9.2,9.8,327.3232573,0.966
1,270,SH-COLD,SH,COLD,9.75,9.4,9.6,349.095853,0.985
1,300,SH-COLD,SH,COLD,9.3,9.55,9.3,365.5507723,1
2,30,SH-COLD,SH,COLD,18,4.8,13.25,212.45,0.736
2,60,SH-COLD,SH,COLD,15.2,6.8,12.45,193.369677,0.819
2,90,SH-COLD,SH,COLD,13.8,7.65,11.9,221.1773182,0.862
2,120,SH-COLD,SH,COLD,12.8,8.05,11.3,248.8920387,0.883
2,150,SH-COLD,SH,COLD,11.8,8.55,10.8,266.2017506,0.915
2,180,SH-COLD,SH,COLD,11.1,8.85,10.4,288.1674515,0.937
2,210,SH-COLD,SH,COLD,10.6,9.05,10.1,313.0926745,0.953
2,240,SH-COLD,SH,COLD,9.5,9.25,9.2,307.5779014,0.968
2,270,SH-COLD,SH,COLD,9,9.4,8.85,323.6023513,0.983
2,300,SH-COLD,SH,COLD,8.85,9.55,8.85,352.4583221,1
3,30,SH-COLD,SH,COLD,18.2,4.65,12.95,218.39,0.712
3,60,SH-COLD,SH,COLD,14.75,7,11.85,172.64,0.803
3,90,SH-COLD,SH,COLD,13.15,8,11.25,194.65,0.856
3,120,SH-COLD,SH,COLD,12.15,8.55,10.8,221.62,0.889
3,150,SH-COLD,SH,COLD,11.35,9,10.45,246.07,0.921
3,180,SH-COLD,SH,COLD,10.8,9.25,10.15,273.04,0.94
3,210,SH-COLD,SH,COLD,10.2,9.45,9.75,293.13,0.956
3,240,SH-COLD,SH,COLD,9.8,9.6,9.5,317.29,0.969
3,270,SH-COLD,SH,COLD,9.4,9.8,9.3,338.31,0.989
3,300,SH-COLD,SH,COLD,9.25,9.9,9.25,368.47,1
4,30,SH-COLD,SH,COLD,17.15,5.6,12.75,167.22,0.743
4,60,SH-COLD,SH,COLD,14.9,7.35,12.25,187.48,0.822
4,90,SH-COLD,SH,COLD,13.45,8.2,11.65,213.06,0.866
4,120,SH-COLD,SH,COLD,12.4,8.7,11.1,238.24,0.895
4,150,SH-COLD,SH,COLD,11.5,9.1,10.6,259.04,0.922
4,180,SH-COLD,SH,COLD,10.75,9.4,10.15,278.42,0.944
4,210,SH-COLD,SH,COLD,10.2,9.6,9.8,300.42,0.961
4,240,SH-COLD,SH,COLD,9.7,9.75,9.45,320.31,0.974
4,270,SH-COLD,SH,COLD,9.3,9.9,9.2,341.17,0.989
4,300,SH-COLD,SH,COLD,8.95,10,8.95,361.56,1
1,30,SH-RT,SH,RT,18.25,3.7,13.35,186.23,0.732
1,60,SH-RT,SH,RT,14.65,5.75,11.8,157.56,0.805
1,90,SH-RT,SH,RT,12.55,6.65,10.6,168.06,0.845
1,120,SH-RT,SH,RT,11.7,7.25,10.35,198.13,0.885
1,150,SH-RT,SH,RT,10.65,7.65,9.7,214.38,0.911
1,180,SH-RT,SH,RT,9.85,7.95,9.2,231.43,0.934
1,210,SH-RT,SH,RT,8.35,8.15,7.9,222.69,0.946
1,240,SH-RT,SH,RT,7.35,8.3,7.05,224.18,0.959
1,270,SH-RT,SH,RT,6.95,8.45,6.8,239.68,0.978
1,300,SH-RT,SH,RT,6.45,8.6,6.45,249.75,1
2,30,SH-RT,SH,RT,17.4,4.05,12.75,148.69,0.733
2,60,SH-RT,SH,RT,14.1,6.05,11.45,145.61,0.812
2,90,SH-RT,SH,RT,11.95,6.9,10.15,155.84,0.849
2,120,SH-RT,SH,RT,10.35,7.4,9.05,166.38,0.874
2,150,SH-RT,SH,RT,9.45,7.8,8.55,184.68,0.905
2,180,SH-RT,SH,RT,8.7,8,8,201.14,0.92
2,210,SH-RT,SH,RT,8.05,8.3,7.65,215.92,0.95
2,240,SH-RT,SH,RT,7.55,8.45,7.3,231.51,0.967
2,270,SH-RT,SH,RT,6.65,8.6,6.55,232.03,0.985
2,300,SH-RT,SH,RT,6.05,8.7,6.05,238.44,1
3,30,SH-RT,SH,RT,17.9,4.3,13.3,170.67,0.743
3,60,SH-RT,SH,RT,14.75,6.15,12,162.45,0.814
3,90,SH-RT,SH,RT,12.75,7.05,10.9,174.74,0.855
3,120,SH-RT,SH,RT,11.15,7.45,9.7,184.86,0.87
3,150,SH-RT,SH,RT,10.2,7.8,9.1,203.2,0.892
3,180,SH-RT,SH,RT,9.05,8.05,8.2,209.83,0.906
3,210,SH-RT,SH,RT,8.3,8.35,7.75,222.38,0.934
3,240,SH-RT,SH,RT,7.75,8.5,7.35,236.95,0.948
3,270,SH-RT,SH,RT,7.25,8.7,7.05,250.1,0.972
3,300,SH-RT,SH,RT,7,8.9,7,269.14,1
4,30,SH-RT,SH,RT,17.25,4.4,12.85,155.14,0.745
4,60,SH-RT,SH,RT,13.4,6.3,10.9,134.55,0.813
4,90,SH-RT,SH,RT,11.7,7.1,10,154.75,0.855
4,120,SH-RT,SH,RT,10.6,7.65,9.45,176.39,0.892
4,150,SH-RT,SH,RT,10,8,9.2,203.09,0.92
4,180,SH-RT,SH,RT,9,8.2,8.4,213.28,0.933
4,210,SH-RT,SH,RT,8.2,8.45,7.85,224.11,0.957
4,240,SH-RT,SH,RT,7.45,8.6,7.25,232.34,0.973
4,270,SH-RT,SH,RT,6.95,8.7,6.85,244.91,0.986
4,300,SH-RT,SH,RT,6.15,8.8,6.15,244.95,1
1,30,3B-COLD,3B,COLD,15,8.15,11.15,123.35,0.743
1,60,3B-COLD,3B,COLD,13,9.55,10.55,155.32,0.812
1,90,3B-COLD,3B,COLD,11.85,10.35,10.2,187.92,0.861
1,120,3B-COLD,3B,COLD,10.95,10.85,9.8,215.09,0.895
1,150,3B-COLD,3B,COLD,10.05,11.1,9.15,233.03,0.91
1,180,3B-COLD,3B,COLD,9.4,11.4,8.8,253.33,0.936
1,210,3B-COLD,3B,COLD,8.9,11.55,8.45,274.44,0.949
1,240,3B-COLD,3B,COLD,8.5,11.7,8.2,295.86,0.965
1,270,3B-COLD,3B,COLD,7.95,11.8,7.75,307.49,0.975
1,300,3B-COLD,3B,COLD,7.55,12,7.55,322.68,1
2,30,3B-COLD,3B,COLD,15.2,8,11.25,131.96,0.74
2,60,3B-COLD,3B,COLD,13,9.6,10.65,156.38,0.819
2,90,3B-COLD,3B,COLD,11.75,10.4,10.2,185.65,0.868
2,120,3B-COLD,3B,COLD,10.85,10.8,9.7,212.59,0.894
2,150,3B-COLD,3B,COLD,10.05,11.1,9.2,233.98,0.915
2,180,3B-COLD,3B,COLD,9.45,11.35,8.85,256.18,0.937
2,210,3B-COLD,3B,COLD,8.6,11.55,8.2,263.53,0.953
2,240,3B-COLD,3B,COLD,8.1,11.7,7.85,280.12,0.969
2,270,3B-COLD,3B,COLD,7.6,11.8,7.45,293.32,0.98
2,300,3B-COLD,3B,COLD,7.15,11.95,7.15,305.65,1
3,30,3B-COLD,3B,COLD,15.9,7.1,11.65,137.08,0.733
3,60,3B-COLD,3B,COLD,13.35,9,11,152.42,0.824
3,90,3B-COLD,3B,COLD,11.75,9.75,10.15,172.64,0.864
3,120,3B-COLD,3B,COLD,10.55,10.2,9.4,190.76,0.891
3,150,3B-COLD,3B,COLD,9.4,10.55,8.6,201.49,0.915
3,180,3B-COLD,3B,COLD,8.8,10.95,8.4,222.11,0.955
3,210,3B-COLD,3B,COLD,8,10.75,7.4,231.86,0.925
3,240,3B-COLD,3B,COLD,7.45,11.15,7.25,245.66,0.973
3,270,3B-COLD,3B,COLD,6.95,11.25,6.85,258.02,0.986
3,300,3B-COLD,3B,COLD,6.5,11.35,6.5,269.45,1
4,30,3B-COLD,3B,COLD,16.05,6.75,11.4,139.85,0.71
4,60,3B-COLD,3B,COLD,12.8,8.8,10.2,136.12,0.797
4,90,3B-COLD,3B,COLD,11.5,9.6,9.7,164.27,0.843
4,120,3B-COLD,3B,COLD,10.35,10,8.95,183.7,0.865
4,150,3B-COLD,3B,COLD,9.5,10.4,8.5,203,0.895
4,180,3B-COLD,3B,COLD,8.8,10.6,8,220.73,0.909
4,210,3B-COLD,3B,COLD,8.15,10.9,7.65,235.37,0.939
4,240,3B-COLD,3B,COLD,7.55,11.1,7.25,247.76,0.96
4,270,3B-COLD,3B,COLD,7.1,11.25,6.95,262.1,0.979
4,300,3B-COLD,3B,COLD,6.95,11.4,6.95,285.31,1
1,30,3B-RT,3B,RT,16.8,5.2,12.65,144.38,0.753
1,60,3B-RT,3B,RT,14.7,6.95,12.3,175.79,0.837
1,90,3B-RT,3B,RT,13.1,7.75,11.5,197.13,0.878
1,120,3B-RT,3B,RT,11.9,8.2,10.75,217.14,0.903
1,150,3B-RT,3B,RT,10.8,8.5,9.95,230.9,0.921
1,180,3B-RT,3B,RT,10.2,8.75,9.6,254.68,0.941
1,210,3B-RT,3B,RT,9.4,8.95,9,266.34,0.957
1,240,3B-RT,3B,RT,8.7,9.1,8.45,277.19,0.971
