day	incidents
1	792
2	799
3	769
4	798
5	838
6	856
7	854
8	849
9	818
10	790
11	848
12	868
13	826
14	832
15	787
16	747
17	686
18	723
19	757
20	795
21	790
22	811
23	780
24	711
25	762
26	795
27	805
28	834
29	860
30	826
31	753
32	830
33	864
34	858
35	896
36	869
37	839
38	761
39	803
40	705
41	769
42	544
43	123
44	522
45	773
46	738
47	822
48	847
49	848
50	831
51	770
52	730
53	785
54	814
55	821
56	816
57	786
58	783
59	726
60	733
61	790
62	810
63	804
64	804
65	754
66	706
67	730
68	768
69	795
70	772
71	784
72	777
73	703
74	729
75	771
76	811
77	813
78	813
79	774
80	725
81	771
82	825
83	821
84	771
85	726
