 YEARMODA	   TEMP	   DEWP	  STP  	 VISIB	  WDSP	 MXSPD	   MAX  	  MIN  	PRCP
20130101	43.3	25.8	971.2	10	5.4	8.9	47.8	37.8	0
20130102	38.5	29.4	973.3	10	1.5	5.1	42.3	32	0
20130103	32	19.2	978	10	1.4	7	42.6	21.9	0
20130104	34.6	17.4	978.5	10	3.6	8.9	45.9	26.2	0
20130105	36	17.9	981	10	3.4	8	48.2	25.9	0
20130106	40.6	26.9	976.8	9.9	3.8	9.9	47.1	31.1	NA
20130107	40.6	26.1	981.6	10	2.2	12	44.8	30.7	0
20130108	36.9	23.8	984.7	10	3	13	56.3	24.1	0
20130109	39.1	30.5	983.9	10	2.9	13	62.8	25.3	0
20130110	46.1	29.6	987.9	10	2	8.9	57.2	29.3	0
20130111	44.8	33.2	983.9	10	3.5	9.9	49.3	36.3	NA
20130112	51	45.5	976.4	5.7	1.8	8.9	73.6	37.8	0
20130113	56.3	50.9	974.8	6.9	1.6	8	70.7	44.8	0
20130114	59.8	51.1	975	10	5.8	12	64.9	49.3	NA
20130115	40.4	37.9	981	4.8	5.1	12	49.1	37.6	0.35
20130116	40.5	38	973.9	5.8	2	11.1	50.9	36.5	0.96
20130117	45.5	37.7	973.5	10	4.1	8	49.5	36	0.03
20130118	36.6	20.1	981.2	9.3	3.7	13	42.4	31.3	0.01
20130119	39	22.1	983.2	10	6	15.9	54.9	27.9	0
20130120	47.6	23.2	971.7	10	9.4	17.1	57.4	37.9	0
20130121	39	11	972.2	10	5.7	21	50.9	28.2	0
20130122	25.6	-2.9	974.3	10	6.4	15.9	40.1	16.3	0
20130123	18	-0.9	979.6	10	1.2	8.9	32	6.4	0
20130124	24	10.6	978.3	7.9	4.6	15	30.2	12.7	NA
20130125	16.9	8.2	983.8	9.3	2.1	11.1	24.6	9	NA
20130126	28.1	19.2	975.6	10	1.3	8	39.6	18	0
20130127	27.6	18	986.9	9.5	1.5	8	40.6	16.2	0
20130128	39.4	31.4	983	8.2	5.2	14	57.2	31.5	0.11
20130129	57.5	46.5	975.9	9.4	5.4	12	75.4	43.3	0
20130130	63.5	53.9	966.7	9.6	8.6	19	69.3	52.7	0.03
20130131	45.7	33.2	958.2	9.2	10.6	19	57.7	32.9	2.14
20130201	28.7	9.7	973.9	9.7	7.9	22	40.3	21.2	0
20130202	21.9	8.3	980.4	9.4	3.5	15	34.3	14.2	NA
20130203	30.9	22.3	969.2	9.3	3.9	12	39.6	23.4	NA
20130204	30.6	14.2	971.6	9.6	6.1	13	39.2	22.1	NA
20130205	42.8	28.1	968.3	10	7.1	15.9	53.4	32	0
20130206	40.8	27	973.7	10	3.2	8.9	51.4	29.1	0
20130207	34	25.2	982.7	9.4	2.8	8.9	41.9	25	0
20130208	36.9	30.5	972.5	5.3	1.2	15.9	46.6	32.9	0.09
20130209	37.2	15.3	976.7	10	6.7	18.1	47.3	28	0
20130210	30.6	14.5	984.2	10	3.2	9.9	46	15.4	0
20130211	48.3	35	973.6	10	6.1	14	64.4	38.7	0.01
20130212	52.1	19.3	969.8	10	6.7	13	62.6	39.6	0
20130213	40.5	24.8	966.8	9.5	1.5	8	53.6	31.6	0.04
20130214	37.3	28.4	968.9	5.7	2.2	8	50.4	25.5	0.01
20130215	39.3	26.9	971.8	10	2.9	13	59.2	23.9	NA
20130216	35.8	29.4	970.6	8.2	4.3	12	41.9	32.4	0.05
20130217	26.5	6.6	971	10	9	17.1	32.4	21.2	0
20130218	27.6	7.4	980.3	10	3.3	12	49.3	12	0
20130219	40.3	27.5	971.8	9.8	6.6	15.9	51.8	31.1	0.03
20130220	36.8	13	970.6	10	7	14	43.9	26.8	0
20130221	30	12.3	977.4	10	2.4	9.9	44.1	19.2	0
20130222	33.2	21	981.2	9.7	4.2	8.9	38.1	29.7	0.01
20130223	39.3	31.5	973.8	10	2.5	8	52	34.7	0
20130224	42.2	30.3	968.1	6.2	2.6	9.9	55.4	32	0
20130225	34.3	18.4	977	10	4.1	15	44.6	21.7	NA
20130226	31.7	24.8	974.5	7.8	1.8	11.1	39.7	23.9	0.66
20130227	42.9	35.5	961.3	6	4.5	15	52.2	36.1	0.03
20130228	40.8	26.8	962.2	10	5	12	52.2	33.4	0
20130301	38.6	25.3	966.8	10	3.7	8	45.1	34.9	0
20130302	34.4	21	968.2	9.7	4.7	9.9	37.4	32	NA
20130303	31.7	16.4	967.9	10	3.6	14	43	20.7	0
20130304	30.6	10.2	971.8	10	3.7	8.9	50	14.5	0
20130305	38	19.3	972.5	10	1.4	8	51.3	26.4	0
20130306	35.9	31.6	964	3.6	7.3	15	44.6	32.7	0.39
20130307	39.7	27.3	975.8	10	6.5	13	43.5	35.8	0
20130308	38.6	25.1	980	10	6.2	15	44.6	32.5	0
20130309	34.9	22.7	983.4	9.7	0.7	5.1	50.2	20.3	0
20130310	39.6	26	981.5	9.6	1.8	7	62.8	24.4	0
20130311	50.3	29.7	976.3	10	4.9	13	57.7	39.7	0
20130312	56.7	46.4	966.9	9.3	6.4	13	61.9	48.4	0.6
20130313	40	24.3	971.5	10	5.4	18.1	48.2	30.6	0.1
20130314	36.3	13.5	976.1	10	8.2	15	48.4	25.9	0
20130315	41.7	19.5	973.2	10	6.2	17.1	60.8	25.7	0
20130316	50.9	39.4	964.8	9.8	3.3	17.1	65.3	36	0.07
20130317	40.2	37	972.5	4.6	5	13	58.5	34.7	0.15
20130318	33.5	31.3	978.2	4.3	2.3	6	34.7	32.4	0.29
20130319	42.7	28.8	966.9	8.8	6.7	22	59	34	0.18
20130320	42.8	7.6	970.7	10	7.9	19	52.5	30.2	0
20130321	34.2	14.7	965.9	9.9	7.2	15.9	45.5	28.8	NA
20130322	33.1	10.5	970	10	5.2	12	50.2	22.3	0
20130323	37.7	16.2	971.8	10	1.7	11.1	57.4	20.1	0
20130324	35.4	23.1	968.6	8.1	0.9	7	49.1	28	0.22
20130325	33.6	31.4	958.4	4.3	1.3	7	38.3	30.2	0.16
20130326	38	27.6	966.5	9.7	3.6	11.1	46.4	32	NA
20130327	38.7	24.6	975.4	10	6.9	15.9	46.9	29.7	0
20130328	40.6	23.1	978.2	10	6.2	12	48.6	32.7	0
20130329	43.1	25.9	980.3	10	2.6	8.9	57.6	29.3	0
20130330	43.2	24.8	978.9	10	1.9	8.9	61.5	25.7	0
20130331	45.7	37.9	971	9.3	2.4	13	58.8	37.8	0.02
20130401	50.8	37.5	967.2	10	5.5	19	62.1	35.6	NA
20130402	41	14.3	974.3	10	4	13	51.3	28.4	0
20130403	38.3	12.7	979.5	10	4	13	54.7	22.8	0
20130404	37	15.3	982.7	10	4	9.9	46.8	25	0.04
20130405	44.2	33	971.8	4.9	1.6	11.1	66	35.1	0.36
20130406	47.7	21	978.1	10	3.7	8	61	33.3	0
20130407	54.8	30.9	977.8	10	7.8	17.1	72	41	0
20130408	62.6	41.7	974.7	10	4.8	14	80.8	41.9	0
20130409	69.7	47.9	975	10	5	15	85.3	50	0
20130410	74.5	50.5	972.8	10	5.5	15	90	59.4	0
20130411	72.6	51.9	968.5	10	4.9	12	85.3	53.8	0
20130412	71.2	55.6	962.5	9.6	8.1	17.1	78.1	61.7	0.77
20130413	57.8	33.6	968	10	5.4	17.1	72.5	38.1	0
20130414	58.1	32.5	973.9	10	2.9	11.1	76.3	38.5	0
20130415	58.8	46.8	978	9	2.2	8.9	69.1	52.3	0.3
20130416	62.7	55.3	980.8	9.8	5.6	11.1	75.6	56.3	0.04
20130417	68.9	57.3	978.9	8.8	1.5	6	82.6	58.3	0.03
20130418	68.8	59.5	977.9	9.4	5.2	15	77.4	63.1	0
20130419	69.6	58.3	968	9.8	10.4	15.9	74.7	64.4	0.2
20130420	53.7	30.6	972.2	10	6.6	11.1	64.4	41.2	0
20130421	47.5	27	986.9	10	4.1	9.9	57	35.6	0
20130422	46.1	29.2	988.1	10	2.5	8	60.1	32.9	0
20130423	52.7	38	981.6	10	3.8	8	68.4	44.6	0
20130424	60	45.9	973.4	10	4.8	18.1	79.2	43.7	0.02
20130425	55.1	34.9	978	10	5.7	15	67.1	37.4	0
20130426	52.5	30.2	984.6	10	2.9	7	67.8	33.4	0
20130427	57.9	39	984.4	10	2.1	8	72.1	42.1	0
20130428	56.7	46.1	980.3	9.4	4.7	14	65.5	53.1	0.08
20130429	57.6	49.9	975.4	9.9	2	8	69.4	52.3	NA
20130430	59.9	52.9	977.1	9.5	3.3	11.1	65.7	55.2	NA
20130501	61.1	46.8	983.7	9.3	4.3	9.9	72.7	53.6	NA
20130502	61.2	40.1	985	9.9	3.6	8.9	73.4	46.9	0
20130503	53.7	42.1	983.3	9.1	2.3	11.1	66.9	39.6	0
20130504	53	40.5	981.1	10	4	11.1	66.2	36.9	0
20130505	53.3	38.5	978.4	10	3.7	8.9	64.9	37.2	0
20130506	55.9	49.2	975.9	8.2	6.1	12	61	50.2	0.03
20130507	59.8	56.6	971.6	8.5	6.9	14	65.8	53.6	0.61
20130508	55.3	52.6	971.9	7.1	2.4	7	60.8	51.8	0.81
20130509	61.8	50.1	972.9	6	2.7	13	80.1	45.7	0.18
20130510	67.2	52.5	973.7	9.8	3.2	13	83.8	49.3	0
20130511	67.8	58.7	968.7	9.5	6.4	13	79.2	60.1	0.3
20130512	60.8	39.6	968.5	10	6.4	17.1	70.3	49.6	0
20130513	49.1	29.9	975.5	10	4	15	59.2	35.8	NA
20130514	49.5	33.2	978.1	9.9	3.3	9.9	70.7	32.2	0
20130515	68.6	46.7	971.1	10	5.5	15	93.4	49.6	0
20130516	74.6	53.3	969.5	10	3.2	21	86	63	0.13
20130517	69.2	56.4	975	9.6	1.8	8.9	81.7	54.9	0.08
20130518	66.8	61.9	978.2	9.2	2.4	7	72.5	63.1	NA
20130519	65.7	60.4	978.3	9.7	2.7	8	71.2	62.6	0.01
20130520	71.2	63.9	975.9	8	2.6	9.9	83.5	63.7	0.01
20130521	72	62.3	973.3	8.1	2.2	8	88.7	60.1	0.01
20130522	76.7	63.9	970.9	8.4	4.3	12	89.6	61.5	0
20130523	70.8	63.2	969.9	8	4.2	11.1	81.3	64	0.76
20130524	61.9	49.7	971.1	9.8	8.2	18.1	74.3	55.4	0.3
