ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20140701000108,-91.53766,41.34569,KDVN,M7,TVS,46,250,34,83,83,4,26,4,30,29,4
20140701000111,-94.51676,40.24530,KMCI,J1,TVS,46,13,32,52,52,3,17,3,20,18,3
20140701000245,-88.06882,41.52247,KORD,W7,TVS,19,210,37,50,53,2,7,1,8,46,2
20140701000418,-94.79196,40.04702,KMCI,C1,TVS,33,356,32,31,70,14,18,2,20,33,14
20140701000537,-87.99919,41.58894,KORD,W7,TVS,14,207,41,56,56,1,6,1,6,63,1
20140701000637,-91.13138,41.24971,KDVN,S7,TVS,33,229,33,53,53,3,6,3,9,26,3
20140701000718,-102.35627,38.08133,KGLD,Z3,TVS,83,202,28,61,61,9,7,9,16,12,9
20140701000756,-80.34907,26.48218,KMIA,Z4,TVS,44,10,42,54,56,6,8,2,10,21,10
20140701000846,-87.95923,41.57626,KORD,W9,TVS,14,199,40,45,80,7,13,1,14,81,7
20140701001017,-94.75412,40.03161,KMCI,U1,TVS,32,359,31,54,54,2,17,2,19,27,2
20140701001026,-87.94152,41.55911,KMDW,X4,TVS,11,240,38,40,77,14,14,0,14,100,14
20140701001150,-91.37563,41.35518,KDVN,G6,TVS,39,247,36,58,58,3,6,3,9,23,3
20140701001446,-87.88702,41.54787,KORD,D9,TVS,15,185,32,61,61,1,12,1,13,65,1
20140701001625,-87.86625,41.54118,KMDW,F7,TVS,9,223,45,36,86,5,10,0,11,168,5
20140701001658,-91.08782,41.17046,KDVN,E6,TVS,35,221,33,51,51,4,8,4,12,23,6
20140701001658,-91.32922,41.35864,KDVN,G6,TVS,37,246,30,47,70,32,29,3,32,31,32
20140701001908,-94.38357,40.17784,KMCI,J1,TVS,44,22,34,49,73,20,18,3,20,24,20
20140701001916,-87.83310,41.48474,KMDW,O7,TVS,11,205,35,31,81,3,6,0,6,115,3
20140701001955,-80.71418,24.99895,KMIA,??,TVS,47,195,35,56,56,6,14,6,21,19,11
20140701001955,-80.84951,25.11712,KMIA,M2,TVS,43,207,42,65,65,2,17,2,19,24,2
20140701002215,-94.31916,40.19254,KMCI,J1,TVS,46,25,35,48,75,10,27,3,30,26,10
20140701002507,-94.27787,40.19550,KMCI,J1,TVS,47,27,37,43,72,20,17,3,20,25,20
20140701002542,-80.72087,26.01395,KPBI,??,TVS,47,211,33,56,59,12,18,6,24,20,12
20140701002554,-80.69519,25.01176,KMIA,??,TVS,46,194,29,57,57,6,24,6,31,20,6
20140701002715,-91.59488,41.20047,KDVN,M6,TVS,52,242,29,52,63,7,23,5,28,20,7
20140701002715,-91.19800,41.38377,KDVN,G6,TVS,31,244,43,82,82,2,7,2,9,43,2
20140701002818,-94.61581,39.95471,KMCI,Z1,TVS,28,12,37,73,93,26,25,1,26,52,26
20140701003106,-87.47987,42.21676,KMKE,E9,TVS,44,145,21,59,59,6,25,6,31,21,6
20140701003110,-94.60547,39.95293,KMCI,Z1,TVS,28,13,43,53,63,12,10,1,12,36,12
20140701003110,-94.24196,40.16133,KMCI,J1,TVS,46,30,50,82,82,3,17,3,20,28,3
20140701003116,-87.67929,41.47160,KMDW,O7,TVS,11,168,35,49,49,0,6,0,6,73,0
20140701003242,-91.47967,41.18437,KDVN,M6,TVS,48,238,35,27,99,11,22,4,27,33,11
20140701003242,-91.52754,41.21200,KDVN,M6,TVS,49,241,34,86,86,4,36,4,41,28,4
