"","dur","proto","service","state","spkts","dpkts","sbytes","dbytes","rate","sttl","dttl","sload","dload","sloss","dloss","sinpkt","dinpkt","sjit","djit","swin","stcpb","dtcpb","dwin","tcprtt","synack","ackdat","smean","dmean","trans_depth","response_body_len","ct_srv_src","ct_state_ttl","ct_dst_ltm","ct_src_dport_ltm","attack_cat","label"
"1",0.201833,"tcp","http","FIN",10,6,1308,268,74.318869,254,252,46692.07031,8878.62793,2,1,20.555,37.485,1029.959401,56.74282,255,1.09339153929274e-314,1.83841149749967e-314,255,0.059694,0.014399,0.045295,131,45,1,0,1,1,1,1,"Worms",1
"2",4.23501,"tcp","http","FIN",46,236,2314,308456,66.351671,254,252,4276.730957,580209.25,2,116,94.089292,17.785219,4511.060777,2129.54145,255,1.89767346471595e-314,7.61549990582208e-315,255,0.206742,0.108835,0.097907,50,1307,1,149237,1,1,1,1,"Worms",1
"3",0.196822,"tcp","http","FIN",10,6,1022,268,76.210992,254,252,37394.19141,9104.672852,2,1,20.148333,36.926398,1068.815062,61.553535,255,1.33668797001593e-314,3.08064073305195e-315,255,0.064706,0.012189,0.052517,102,45,1,0,1,1,1,1,"Worms",1
"4",1.260943,"tcp","http","FIN",10,6,1282,268,11.895858,254,252,7321.504395,1421.158569,2,1,138.352778,245.242,9637.030379,450.915937,255,2.77147682317694e-315,2.07242681119326e-314,255,0.098667,0.034732,0.063935,128,45,1,0,4,1,1,1,"Worms",1
"5",5e-06,"udp","-","INT",2,0,92,0,200000.0051,254,0,73600000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,2,1,1,"Worms",1
"6",0.678688,"tcp","http","FIN",10,6,1306,268,22.101467,254,252,13862.04004,2640.388672,2,1,71.071667,114.114398,3585.672173,175.462531,255,4.69221465908303e-316,5.984866429134e-315,255,0.187901,0.10811,0.079791,131,45,1,0,1,1,1,1,"Worms",1
"7",6e-06,"udp","-","INT",2,0,2050,0,166666.6608,254,0,1366666624,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,1,2,1,1,"Worms",1
"8",0.928794,"tcp","http","FIN",10,6,1302,268,16.149975,254,252,10094.81055,1929.383667,2,1,96.318667,157.907406,5106.424147,254.466859,255,5.44683639626348e-315,8.55082713121894e-315,255,0.239367,0.139249,0.100118,130,45,1,0,1,1,1,1,"Worms",1
"9",0.226263,"tcp","http","FIN",10,6,1302,268,66.294533,254,252,41438.50391,7919.986816,2,1,23.494667,42.942801,1241.200823,68.33443,255,3.46667461223692e-315,3.71865666365491e-315,255,0.058136,0.011539,0.046597,130,45,1,0,1,1,1,1,"Worms",1
"10",0.390372,"tcp","http","FIN",14,6,8682,268,48.671523,254,252,165216.7656,4590.493164,4,1,24.145231,70.977797,1517.354638,95.391852,255,1.01206499163318e-314,8.11386610161164e-315,255,0.072417,0.035482,0.036935,620,45,1,0,1,1,1,1,"Worms",1
"11",5.566142,"tcp","http","FIN",64,376,3114,482584,78.869708,254,252,4406.642578,691755.25,2,185,88.351463,14.691118,4387.322053,1946.498734,255,1.21041514112013e-314,6.14273569925268e-315,255,0.153739,0.071058,0.082681,49,1283,1,233472,3,1,1,3,"Worms",1
"12",0.328449,"tcp","http","FIN",10,6,1296,268,45.669189,254,252,28424.50391,5455.945801,2,1,34.029222,56.455,1681.684053,78.133281,255,8.5911236984099e-315,3.62842612174355e-315,255,0.095843,0.046171,0.049672,130,45,1,0,1,1,5,1,"Worms",1
"13",0.198608,"tcp","http","FIN",10,6,1294,268,75.52566,254,252,46926.60938,9022.798828,2,1,20.580556,38.292,1099.949351,64.418328,255,2.07369166074813e-314,7.45813810040956e-315,255,0.053521,0.007142,0.046379,129,45,1,0,1,1,1,1,"Worms",1
"14",0.689624,"tcp","http","FIN",10,6,1302,268,21.750983,254,252,13595.81445,2598.517334,2,1,67.247333,123.945602,3623.624485,183.511219,255,1.34062639751353e-314,9.18350884749198e-315,255,0.103933,0.069892,0.034041,130,45,1,0,1,1,1,1,"Worms",1
"15",0.716176,"tcp","http","FIN",10,8,1314,354,23.737183,254,252,13214.62891,3462.836182,2,1,70.949222,95.113711,5325.112416,119.182578,255,8.65273903023659e-315,3.45566507077388e-315,255,0.099212,0.050377,0.048835,131,44,1,0,2,1,1,1,"Worms",1
"16",2.008628,"tcp","http","FIN",38,204,1988,263696,119.982402,254,252,7710.736328,1045107.438,2,100,54.287245,9.438502,2700.060844,1144.644601,255,6.05033084854381e-315,1.51404280383538e-314,255,0.140677,0.0688,0.071877,52,1293,1,127488,2,1,1,1,"Worms",1
"17",1e-05,"udp","-","INT",2,0,808,0,100000.0025,254,0,323200000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,404,0,0,0,7,2,1,1,"Worms",1
"18",0.344051,"tcp","http","FIN",10,6,1296,268,43.598187,254,252,27135.51172,5208.530273,2,1,36.186111,62.513801,1919.077426,105.955047,255,5.56836212830488e-315,4.47186007176387e-315,255,0.106057,0.031473,0.074584,130,45,1,0,1,1,1,1,"Worms",1
"19",0.796534,"tcp","http","FIN",10,8,1296,354,21.342466,254,252,11720.78027,3113.489258,2,1,88.392556,103.41557,5089.784871,176.667234,255,1.05662153461942e-314,5.07320444916663e-315,255,0.13926,0.072619,0.066641,130,44,1,0,5,1,1,2,"Worms",1
"20",1.180302,"tcp","http","FIN",10,8,1308,354,14.403093,254,252,7984.396973,2101.157227,2,1,131.042,154.405,8204.585786,212.396578,255,1.10663328663599e-314,1.06599696334609e-314,255,0.148083,0.099457,0.048626,131,44,1,0,2,1,1,1,"Worms",1
"21",3.99375,"tcp","http","FIN",48,236,2416,308476,70.860718,254,252,4739.405273,615299.375,2,116,84.973407,16.561085,4002.976879,1923.690198,255,1.23904971067307e-314,5.87155671728421e-315,255,0.217738,0.101218,0.11652,50,1307,0,0,1,1,1,1,"Worms",1
"22",0.560773,"tcp","http","FIN",10,6,1306,268,26.748791,254,252,16776.8418,3195.588867,2,1,62.216222,94.112602,3096.431149,153.794734,255,2.41301429218011e-315,4.56991056614186e-315,255,0.146868,0.090199,0.056669,131,45,1,0,1,1,1,1,"Worms",1
"23",0.544761,"tcp","http","FIN",10,6,1282,268,27.535011,254,252,16946.88086,3289.515869,2,1,58.176889,89.090203,3011.273709,139.396953,255,1.26504376169784e-314,6.00109182656085e-315,255,0.157189,0.099303,0.057886,128,45,1,0,1,1,1,1,"Worms",1
"24",1.428784,"tcp","http","FIN",10,8,1292,354,11.898229,254,252,6511.831055,1735.741699,2,1,154.344444,188.606422,8772.672668,338.968969,255,1.69847631428312e-314,1.45430455041959e-315,255,0.216481,0.108536,0.107945,129,44,1,0,2,1,1,1,"Worms",1
"25",0.489608,"tcp","http","FIN",14,6,8682,268,38.806556,254,252,131729.875,3660.071045,4,1,32.29,88.456602,2140.566103,125.556797,255,2.0023577217031e-314,1.74708728792214e-314,255,0.075372,0.047323,0.028049,620,45,1,0,1,1,1,1,"Worms",1
"26",0.260798,"tcp","http","FIN",10,6,1308,268,57.515777,254,252,36135.24609,6871.218262,2,1,27.180222,45.143,1448.225397,62.970301,255,8.37947928091935e-315,2.05989483509836e-314,255,0.08648,0.035079,0.051401,131,45,1,0,1,1,1,1,"Worms",1
"27",9e-06,"udp","-","INT",2,0,2050,0,111111.1072,254,0,911111104,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,1,2,1,1,"Worms",1
"28",0.476089,"tcp","http","FIN",10,6,1296,268,31.506714,254,252,19609.7793,3764.002197,2,1,52.898778,75.371797,2719.321673,140.007906,255,1.9308103789074e-314,2.11660226454863e-314,255,0.104906,0.070645,0.034261,130,45,0,0,1,1,1,1,"Worms",1
"29",0.595302,"tcp","http","FIN",10,6,1296,268,25.197295,254,252,15682.79688,3010.236816,2,1,59.988889,103.168398,3761.763261,170.039094,255,2.75673847935292e-316,1.23067019378387e-314,255,0.143299,0.079449,0.06385,130,45,0,0,1,1,1,1,"Worms",1
"30",0.315213,"tcp","http","FIN",10,6,1302,268,47.586871,254,252,29744.9668,5685.044922,2,1,28.554111,59.245199,1657.568439,81.730828,255,1.47883590626601e-314,2.03991504666261e-314,255,0.068144,0.018976,0.049168,130,45,1,0,1,1,1,1,"Worms",1
"31",7.071333,"tcp","http","FIN",112,696,5090,915210,114.122756,254,252,5707.551758,1033916.5,2,346,63.705703,10.090862,3007.833895,1208.563053,255,3.11634133856363e-315,1.06371778071615e-314,255,0.136165,0.04431,0.091855,45,1315,1,443364,1,1,1,1,"Worms",1
"32",1.286678,"tcp","http","FIN",10,8,1302,354,13.212319,254,252,7286.98291,1927.444214,2,1,138.953333,162.000859,8987.440065,234.690859,255,1.32487985987414e-315,1.2290722189851e-314,255,0.253241,0.152666,0.100575,130,44,0,0,1,1,1,1,"Worms",1
"33",0.269653,"tcp","http","FIN",10,6,1006,268,55.627048,254,252,26878.99023,6645.578125,2,1,27.707444,48.263398,1360.492067,66.16818,255,1.05732360684282e-314,4.21560420923032e-315,255,0.05576,0.028325,0.027435,101,45,1,0,1,1,1,1,"Worms",1
"34",0.256677,"tcp","http","FIN",10,6,1022,268,58.439205,254,252,28674.16992,6981.537109,2,1,25.012556,39.426801,1286.961789,53.508348,255,7.6625202568532e-315,7.60570468384404e-315,255,0.085167,0.059532,0.025635,102,45,0,0,1,1,1,1,"Worms",1
"35",1.1e-05,"udp","-","INT",2,0,808,0,90909.0902,254,0,293818176,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,404,0,0,0,2,2,1,1,"Worms",1
"36",0.553215,"tcp","http","FIN",10,6,1302,268,27.114231,254,252,16948.20117,3239.246826,2,1,57.611222,97.146602,3146.843315,158.934672,255,1.48166634016998e-314,1.20890569349784e-314,255,0.154293,0.067479,0.086814,130,45,0,0,1,1,1,1,"Worms",1
"37",3.422533,"tcp","http","FIN",62,372,3006,482406,126.514484,254,252,6914.177246,1124570.625,2,184,56.1071,9.093644,2660.789828,1101.114492,255,1.00075543473549e-315,3.77746626584806e-315,255,0.102029,0.048024,0.054005,48,1297,0,0,1,1,2,1,"Worms",1
"38",4e-06,"udp","-","INT",2,0,92,0,250000.0006,254,0,9.2e+07,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,2,4,1,"Worms",1
"39",2.095087,"tcp","http","FIN",38,204,2004,263720,115.03102,254,252,7453.628418,1002070.063,2,100,56.623971,9.804177,2715.093495,1200.314438,255,2.45268046125092e-315,2.11888592588366e-314,255,0.157886,0.104189,0.053697,53,1293,1,127488,4,1,1,2,"Worms",1
"40",0.22641,"tcp","-","FIN",10,6,1314,268,66.25149,254,252,41800.27344,7914.844727,2,1,22.389,34.993801,1105.716695,46.969715,255,1.50996050936238e-314,1.5528034923742e-314,255,0.067477,0.051439,0.016038,131,45,0,0,2,1,1,1,"Worms",1
"41",0.731113,"tcp","-","FIN",10,6,1308,268,20.516664,254,252,12889.93555,2451.057373,2,1,81.186444,107.014797,4007.445821,167.979797,255,1.28437132419321e-314,4.85364123643636e-315,255,0.246384,0.196027,0.050357,131,45,0,0,1,1,1,1,"Worms",1
"42",0.556154,"tcp","-","FIN",10,6,1296,268,26.970946,254,252,16786.7168,3222.12915,2,1,58.261,91.630602,3131.494886,137.110156,255,9.99057374094443e-315,1.56284702729925e-314,255,0.230332,0.098,0.132332,130,45,0,0,4,1,1,1,"Worms",1
"43",0.431666,"tcp","http","FIN",10,8,1294,354,39.382301,254,252,21590.76758,5745.182617,2,1,47.962889,52.069145,3088.235721,113.840578,255,1.12896267934852e-314,1.03705469959024e-315,255,0.097639,0.047976,0.049663,129,44,1,0,1,1,1,1,"Worms",1
"44",0.713732,"tcp","-","FIN",10,6,1308,268,21.016292,254,252,13203.83594,2510.746338,2,1,79.144556,117.764398,3826.819719,162.904703,255,1.8213764687702e-314,9.33240120173985e-315,255,0.232683,0.124904,0.107779,131,45,0,0,4,1,1,2,"Worms",1
"45",0.320574,"tcp","-","FIN",10,6,568,268,46.791071,254,252,12777.08203,5589.973145,2,1,35.619333,56.593398,1710.907333,80.817719,255,1.10958178345482e-314,1.14178771295158e-314,255,0.086109,0.036982,0.049127,57,45,0,0,1,1,1,1,"Shellcode",1
"46",7e-06,"udp","-","INT",2,0,406,0,142857.1409,254,0,2.32e+08,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,203,0,0,0,5,2,2,1,"Shellcode",1
"47",0.52179,"tcp","-","FIN",10,6,684,268,28.747196,254,252,9444.412109,3434.331543,2,1,57.857444,92.87,3218.618558,145.555609,255,8.01792210552126e-315,6.3806743694654e-316,255,0.110099,0.057437,0.052662,68,45,0,0,1,1,1,1,"Shellcode",1
"48",0.37681,"tcp","-","FIN",10,6,562,268,39.807859,254,252,10742.81445,4755.712402,2,1,39.118222,63.509398,1974.184428,82.903047,255,8.3567685159704e-315,1.02354558318802e-314,255,0.087666,0.05926,0.028406,56,45,0,0,2,1,1,1,"Shellcode",1
"49",1e-05,"udp","-","INT",2,0,322,0,100000.0025,254,0,128800000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,161,0,0,0,1,2,2,1,"Shellcode",1
"50",0.538437,"tcp","-","FIN",10,8,518,354,31.572867,254,252,6938.601562,4605.924316,2,1,57.501778,68.283141,3645.840403,122.526391,255,7.88083923442361e-315,1.49380882702396e-314,255,0.141899,0.060447,0.081452,52,44,0,0,1,1,1,1,"Shellcode",1
"51",0.221558,"tcp","-","FIN",10,6,628,268,67.702361,254,252,20437.08594,8088.175293,2,1,22.025222,41.935398,1143.157907,64.990223,255,1.36295471217482e-314,5.95445645148096e-315,255,0.063045,0.011872,0.051173,63,45,0,0,2,1,1,1,"Shellcode",1
"52",1e-05,"udp","-","INT",2,0,144,0,100000.0025,254,0,57600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,72,0,0,0,2,2,1,1,"Shellcode",1
"53",0.347434,"tcp","-","FIN",10,6,724,268,43.173666,254,252,15012.92285,5157.813965,2,1,33.523,62.757602,1997.917153,97.281898,255,1.96559928063622e-314,1.8710206814003e-314,255,0.059358,0.033636,0.025722,72,45,0,0,1,1,1,1,"Shellcode",1
"54",9e-06,"udp","-","INT",2,0,224,0,111111.1072,254,0,99555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,112,0,0,0,7,2,2,1,"Shellcode",1
"55",2.417154,"tcp","-","FIN",10,8,764,354,7.033064,254,252,2277.058105,1026,2,1,256.094,330.750719,17030.4801,445.535656,255,1.16699037258924e-314,8.53907385791724e-315,255,0.168365,0.101893,0.066472,76,44,0,0,5,1,1,1,"Shellcode",1
"56",0.153847,"tcp","-","FIN",10,6,732,268,97.499468,254,252,34267.8125,11647.93652,2,1,16.720444,26.663,921.714472,45.354078,255,1.89518918604917e-314,9.6208958407365e-315,255,0.071611,0.020513,0.051098,73,45,0,0,1,1,1,1,"Shellcode",1
"57",8e-06,"udp","-","INT",2,0,132,0,125000.0003,254,0,6.6e+07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,66,0,0,0,3,2,1,1,"Shellcode",1
"58",0.184658,"tcp","-","FIN",10,6,720,268,81.231247,254,252,28073.51953,9704.425781,2,1,18.953222,35.623801,989.841818,59.279242,255,1.83062928077895e-314,1.0061195785741e-314,255,0.05172,0.00653,0.04519,72,45,0,0,2,1,1,1,"Shellcode",1
"59",6e-06,"udp","-","INT",2,0,256,0,166666.6608,254,0,170666656,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,128,0,0,0,2,2,1,1,"Shellcode",1
"60",8e-06,"udp","-","INT",2,0,202,0,125000.0003,254,0,1.01e+08,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,101,0,0,0,1,2,1,1,"Shellcode",1
"61",4e-06,"udp","-","INT",2,0,352,0,250000.0006,254,0,3.52e+08,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,176,0,0,0,2,2,1,1,"Shellcode",1
"62",0.41407,"tcp","-","FIN",10,6,874,268,36.225758,254,252,15205.1582,4327.770508,2,1,45.900333,71.218,2514.365595,119.653984,255,1.44130450937753e-314,1.5985229013669e-314,255,0.098749,0.057975,0.040774,87,45,0,0,3,1,1,1,"Shellcode",1
"63",9e-06,"udp","-","INT",2,0,164,0,111111.1072,254,0,72888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,82,0,0,0,3,2,1,1,"Shellcode",1
"64",0.159646,"tcp","-","FIN",10,6,728,268,93.957879,254,252,32872.73047,11224.83496,2,1,17.494444,28.9836,1026.086805,49.449813,255,6.04751600833976e-315,5.16809325443522e-316,255,0.027148,0.014725,0.012423,73,45,0,0,1,1,1,1,"Shellcode",1
"65",2.445761,"tcp","-","FIN",10,8,532,354,6.950802,254,252,1566.79248,1013.999329,2,1,256.939,338.222156,16274.05396,453.596375,255,1.33319357067777e-314,1.06643844212679e-314,255,0.156526,0.078205,0.078321,53,44,0,0,1,1,1,1,"Shellcode",1
"66",2.084823,"tcp","-","FIN",10,8,912,354,8.15417,254,252,3150.387451,1189.549438,2,1,225.536111,277.615563,13291.57635,579.729563,255,1.57222057165955e-314,1.4247525918704e-315,255,0.368788,0.141513,0.227275,91,44,0,0,3,1,1,1,"Shellcode",1
"67",0.905566,"tcp","-","FIN",10,6,748,268,16.564227,254,252,5954.287109,1978.872925,2,1,113.19575,170.224203,143.882781,302.134,255,4.36384394228529e-315,1.67351736191252e-314,255,0.139797,0.05387,0.085927,75,45,0,0,1,1,2,1,"Shellcode",1
"68",1.3e-05,"udp","-","INT",2,0,120,0,76923.07779,254,0,36923076,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,2,1,1,"Shellcode",1
"69",4e-06,"udp","-","INT",2,0,416,0,250000.0006,254,0,4.16e+08,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,208,0,0,0,1,2,1,1,"Shellcode",1
"70",0.34055,"tcp","-","FIN",10,6,582,268,44.046395,254,252,12309.49902,5262.076172,2,1,33.164667,56.299801,1767.236018,72.843945,255,1.59599440580108e-315,1.32722012532208e-315,255,0.132081,0.05905,0.073031,58,45,0,0,4,1,1,1,"Shellcode",1
"71",0.193789,"tcp","-","FIN",10,6,508,268,77.403772,254,252,18907.16211,9247.170898,2,1,19.333444,37.164199,1024.217506,60.37566,255,1.29932484447544e-314,7.82363817163494e-315,255,0.054381,0.00796,0.046421,51,45,0,0,2,1,1,1,"Shellcode",1
"72",0.19115,"tcp","-","FIN",10,6,892,268,78.472406,254,252,33607.11719,9374.836914,2,1,19.988222,36.937,1075.326309,64.614496,255,1.44242832295314e-314,1.04362391696936e-314,255,0.053905,0.006456,0.047449,89,45,0,0,2,1,1,1,"Shellcode",1
"73",0.180308,"tcp","-","FIN",10,6,576,268,83.190985,254,252,23027.26367,9938.549805,2,1,18.459889,34.711602,987.533817,59.360254,255,4.55647645680973e-315,1.96749907420925e-314,255,0.054735,0.006747,0.047988,58,45,0,0,1,1,1,1,"Shellcode",1
